ObjectID,Title,ConstituentID,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,URL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
30837,Frontispiece from LA TREILLE MUSCATE,[5318],1930,,"irreg. composition  12 3/16 x 9 3/16"" (31 x 23.3 cm)",The Louis E. Stern Collection,1054.1964.1,Illustrated Book,Drawings & Prints,1964-10-06,N,,,,,31,,,23.3,,
15579,Frontispiece from OFFSETS,[194],1964,,"irreg. composition  6 9/16 x 4 5/8"" (16.7 x 11.8 cm)",Gift of Monroe Wheeler,321.1967.1,Illustrated Book,Drawings & Prints,1967-04-11,N,,,,,16.7,,,11.8,,
164596,"Fuchs Addition to Perls House, Berlin-Zehlendorf, Germany (Three elevations)",[7166],1928,Pencil on tracing paper,"21 1/2 x 22"" (54.6 x 55.9 cm)","Mies van der Rohe Archive, gift of the architect
",MR26.29,Mies van der Rohe Archive,Architecture & Design,,N,,,,,54.61010922,,,55.88011176,,
221833,Fundamental Acts: Death,"[8224, 8228, 5733, 8220, 8221, 8222, 8223]",1971,Lithograph,"27 9/16 × 39 3/8"" (70 × 100 cm)",Committee on Architecture and Design Funds,379.2017.3,Architecture,Architecture & Design,2017-05-15,Y,http://www.moma.org/collection/works/221833,,,,70,,,100,,
149639,"Furniture Commission for the Henke House Addition, Essen, Germany (Floor plan, with furniture placement. Living room.)",[8059],1930,Print,"25 1/2 x 27 1/4"" (64.8 x 69.2 cm)","Lilly Reich Collection, Mies van der Rohe Archive",R51.4,Mies van der Rohe Archive,Architecture & Design,,N,,,,,64.77012954,,,69.21513843,,
19030,"GALATEA IN THE WAVES (in-text plate, page 69) from THE ECLOGUES",[3697],1912,,"composition  3 1/8 x 4 1/16"" (8 x 10.3 cm)",Henry Church Fund,584.1949.29,Illustrated Book,Drawings & Prints,1949-09-29,N,,,,,8,,,10.3,,
61348,Garden of Passion (Garten der Leidenschaft),[3130],1913,Etching,"plate: 3 3/4 x 5 3/4"" (9.5 x 14.6 cm); sheet: 9 11/16 x 13 3/16"" (24.6 x 33.5 cm)",Purchase,76.1944,Print,Drawings & Prints,1944-05-02,Y,http://www.moma.org/collection/works/61348,,,,9.5,,,14.6,,
92028,General Faidherbe; General Aurelles de Paladine; General Chanzy; Duc de Chartres; General Charette; Marquis de Gallifet,"[24184, 8595]",1870,Albumen silver prints,"(a, c, d, f each approx.): 2 1/2 × 1 15/16"" (6.3 × 5 cm)
(b, e each approx.): 3 9/16 × 2 3/16"" (9 × 5.6 cm)","Gift of Harry H. Lunn, Jr.",602.1987.27.a-f,Photograph,Photography,1987-12-10,N,,,,,6.3,,,5,,
129037,General Lighting Company,[5740],1950,Lithograph,"11 x 8 3/8"" (27.9 x 21.3 cm)",Gift of Radoslav Sutnar,409.2009,Design,Architecture & Design,2009-04-15,Y,http://www.moma.org/collection/works/129037,,,,27.94005588,,,21.27254255,,
1224,Glasses,[22959],1957,Glass,".1: 6 3/16 x 3 3/8"" (15.7 x 8.5 cm)
.2: 2 3/4 x 3 1/8"" (7 x 8 cm)
.3: 2 1/4 x 2 5/8"" (5.7 x 6.6 cm)
.4: 2 x 2 1/8"" (5.1 x 5.4 cm)",Given anonymously,2307.2001.1-4,Design,Architecture & Design,2001-09-24,Y,http://www.moma.org/collection/works/1224,,,8.5,15.7,,,,,
109177,Going Home,[32707],2005,Aquatint and etching,"plate: 31 7/8 x 29 13/16"" (80.9 x 75.7 cm); sheet: 41 5/16 x 37 13/16"" (105 x 96 cm)",Acquired through the generosity of Jo Carole and Ronald S. Lauder,241.2007,Print,Drawings & Prints,2007-06-04,Y,http://www.moma.org/collection/works/109177,,,,80.9,,,75.7,,
107222,"Golf Club, project, Krefeld, Germany (Plan)",[7166],1930,Pencil and colored pencil on paper,"44 1/2 x 41 3/4"" (113 x 106 cm)","Mies van der Rohe Archive, gift of the architect",MR19.40,Mies van der Rohe Archive,Architecture & Design,,Y,http://www.moma.org/collection/works/107222,,,,113.0302261,,,106.0452121,,
160714,Grease,[41882],1978,35mm film,,Purchase from Cinema Arts,F2012.567,Film,Film,2012-04-12,N,,,,,,,,,,
51162,Greeks,[2358],1984,Platinum/palladium print in bound volume,"2 1/8 × 2 9/16"" (5.4 × 6.6 cm)",Gift of Lily Auchincloss,337.1994.14,Photograph,Photography,1994-06-09,N,,,,,5.4,,,6.6,,
62444,Greetings: Laughing Monster,[710],1946,"Etching and engraving, with hand additions","plate: 2 15/16 x 4 13/16"" (7.5 x 12.3 cm); sheet: 6 3/16 x 7 3/8"" (15 x 18.7 cm)",Gift of the artist,130.1990.2,Print,Drawings & Prints,1990-05-02,Y,http://www.moma.org/collection/works/62444,,,,7.5,,,12.3,,
110222,GROW (Prototype),"[33072, 33073, 34141]",2005,"Thin film photovoltaics, piezoelectric generators, screen printed conductive ink encapsulated in ETFE fluoropolymer lamination, stainless steel, nylon, neoprene rubber, copper wire, and aluminum

","192 x 96"" (487.7 x 243.8 cm)",Gift of Marie-Josée and Henry R. Kravis,433.2008,Design,Architecture & Design,2008-05-22,Y,http://www.moma.org/collection/works/110222,,,,487.6809754,,,243.8404877,,
75857,GUARDIAN OF THE TOWER,[4294],1898,"Woodcut, printed in black with gray-tan wash, and blue and red gouache added","Sheet and comp. 10 1/8 x 9"" (25.8 x 23.0 cm)",Purchase,1157.1964,Print,Drawings & Prints,1964-11-10,N,,,,,25.8,,,23,,
41150,Hôtel de Lauzun,[229],1905,Albumen silver print,"Approx. 6 1/2 × 8 1/2"" (16.5 × 21.6 cm)",Abbott-Levy Collection. Partial gift of Shirley C. Burden,1.1969.3042,Photograph,Photography,1968-03-06,Y,http://www.moma.org/collection/works/41150,,,,,,,,,
42271,Hôtel de Roquelaure,[229],1921,Albumen silver print,"Approx. 8 11/16 × 7 1/16"" (22 × 18 cm)",Abbott-Levy Collection. Partial gift of Shirley C. Burden,1.1969.4052,Photograph,Photography,1968-03-06,Y,http://www.moma.org/collection/works/42271,,,,,,,,,
42699,"Hôtel d'Epinay, 37 rue Saint-Roch",[229],1912,Albumen silver print,,Abbott-Levy Collection. Partial gift of Shirley C. Burden,1.1969.4438,Photograph,Photography,1968-03-06,N,,,,,,,,,,
42746,HÔTEL D'ECQUEVILLY. 60 RUE DE TURENNE,[229],1901,Albumen silver print,"Approx. 8 11/16 × 7 1/16"" (22 × 18 cm)",Abbott-Levy Collection. Partial gift of Shirley C. Burden,1.1969.4480,Photograph,Photography,1968-03-06,N,,,,,,,,,,
42064,HÔTEL DES AMBASSADEURS. 47 RUE VIEILLE-DU-TEMPLE,[229],1900,Matte albumen silver print,,Abbott-Levy Collection. Partial gift of Shirley C. Burden,1.1969.3941,Photograph,Photography,1968-03-06,N,,,,,,,,,,
42825,HÔTEL D'HINNISDAL. RUE CASSETTE 24,[229],1921,Albumen silver print,,Abbott-Levy Collection. Partial gift of Shirley C. Burden,1.1969.4551,Photograph,Photography,1968-03-06,N,,,,,,,,,,
42941,HÔTEL. RUE DES FRANCS BOURGEOIS 30,[229],1898,Albumen silver print,"Approx. 8 11/16 × 7 1/16"" (22 × 18 cm)",Abbott-Levy Collection. Partial gift of Shirley C. Burden,1.1969.4656,Photograph,Photography,1968-03-06,N,,,,,,,,,,
131507,Hair Peace. Bed Peace.,[-1],1969,"Portfolio, offset","14 x 19 1/2"" (35.5 x 49.5 cm)
Each: 13 3/4 x 19 5/16"" (35 x 49 cm)",The Gilbert and Lila Silverman Fluxus Collection Gift,FC1235,Print,Fluxus Collection,2008-10-08,N,,,,,35.5,,,49.5,,
220521,Half Sheet,[68036],2017,Archival pigment print on found poster,"22 × 28"" (55.9 × 71.1 cm)",Fund for the Twenty-First Century,779.2017.12,Print,Media and Performance,2017-12-11,N,,,0,,55.88011176,,,71.12014224,,
78807,Hand of Mercy,[1587],1963,Oil on canvas,"64 1/8 x 51 3/8"" (162.6 x 130.3 cm)",Bertram F. and Susie Brummer Foundation Fund,107.1965,Painting,Painting & Sculpture,1965-03-09,Y,http://www.moma.org/collection/works/78807,,,,162.6,,,130.3,,
17383,Hatching (solander box lining) from Foirades/Fizzles,[2923],1975,"Lithograph from an illustrated book with thirty aquatints (twenty-one with etching, two with drypoint, one with screenprint), three etchings (two with drypoint), and one lithograph","ea. half composition  13 1/8 x 10"" (33.3 x 25.5 cm)",Gift of Celeste and Armand Bartos (in perpetuity),454.1978.32,Illustrated Book,Drawings & Prints,1978-05-22,Y,http://www.moma.org/collection/works/17383,,,,33.3,,,25.5,,
139572,"Hay Meadow, E.T.",[2590],1865,Albumen silver print,"4 1/2 × 7 1/2"" (11.5 × 19.1 cm)",Purchase,571.1971.5,Photograph,Photography,1971-11-10,Y,http://www.moma.org/collection/works/139572,,,,33,,,46.3,,
29895,"Head (portfolio, plate V) from Six Contes Fantastiques",[4609],1944,Engraving,"plate: 13 11/16 x 10 1/2"" (34.8 x 26.7 cm); page: 15 3/4 x 12 5/16"" (40 x 31.3 cm)",The Louis E. Stern Collection,1002.1964.B5,Illustrated Book,Drawings & Prints,1964-10-06,Y,http://www.moma.org/collection/works/29895,,,,34.8,,,26.7,,
13752,"Headpiece (after Louis Süe, page 107) from ARCHITECTURES",[1069],1921,"Wood engraving, printed in black","irreg. composition  9 1/2 x 5 3/16"" (24.1 x 13.2 cm)",Gift of Mr. and Mrs. E. Powis Jones,212.1954.41,Illustrated Book,Drawings & Prints,1954-04-06,N,,,,,24.1,,,13.2,,
13182,Headpiece (page 167) from Le monde merveilleux des insectes,[3641],1950,"Lithograph, printed in color","irreg. composition  6 3/4 x 5 15/16"" (17.1 x 15.2 cm)",Given anonymously,186.1965.37,Illustrated Book,Drawings & Prints,1965-04-06,N,,,,,17.1,,,15.2,,
21824,Headpiece (page 50) from SAINTE MONIQUE,[665],1920,"Wood engraving, printed in black","irreg. composition  3 1/2 x 2 1/8"" (8.9 x 5.4 cm)",The Louis E. Stern Collection,697.1964.38,Illustrated Book,Drawings & Prints,1964-10-06,N,,,,,8.9,,,5.4,,
30596,Headpiece (table of contents) from PASSION,[5053],1928,"Wood engraving, printed in black","composition  4 13/16 x 7 13/16"" (12.2 x 19.8 cm)",The Louis E. Stern Collection,1044.1964.97,Illustrated Book,Drawings & Prints,1964-10-06,N,,,,,12.2,,,19.8,,
54807,Henati,[947],1940,Gelatin silver print,"9 5/8 × 7 1/2"" (24.5 × 19.0 cm)",Gift of the artist,534.1967,Photograph,Photography,1967-06-06,Y,http://www.moma.org/collection/works/54807,,,,24.5,,,19,,
190692,Highrise of Homes project,[7570],1981,Ink on mylar,"36 x 48"" (91.4 x 121.9 cm)",Gift of the architect,717.2015.8,Architecture,Architecture & Design,2015-06-04,Y,http://www.moma.org/collection/works/190692,,,,91.44018288,,,121.9202438,,
185199,Horizon Studies,[1533],1971,Chromogenic color print,"8 9/16 × 11 3/16"" (21.7 × 28.4 cm)
",Anonymous gift,221.2014.216,Photograph,Photography,2014-05-08,N,,,,,21.7487935,,,28.41630683,,
118011,Hot Sake,[6281],1970,"Video (black and white, sound)",0:36 min.,Gift of the artist,277.2008.11,Video,Media and Performance,2008-03-12,Y,http://www.moma.org/collection/works/118011,,,,,,,,,
184359,"Hotel Event, performed at Waldorf Astoria, New York, June 4, 1966","[36946, 21398]",1966,Gelatin silver print,"image: 4 3/16 x 4 5/16"" (10.7 x 11 cm); sheet: 6 15/16 x 4 15/16"" (17.7 x 12.6 cm)",The Gilbert and Lila Silverman Fluxus Collection Gift,3204.2008.16,Photograph,Drawings & Prints,2008-10-08,N,,,,,10.7,,,11,,
184387,"Hotel Event, performed at Waldorf Astoria, New York, June 4, 1966","[37289, 36946, 21398]",1966,Gelatin silver print,"image: 4 3/16 x 4 5/16"" (10.7 x 11 cm); sheet: 6 15/16 x 4 15/16"" (17.7 x 12.6 cm)",The Gilbert and Lila Silverman Fluxus Collection Gift,3204.2008.44,Photograph,Drawings & Prints,2008-10-08,N,,,,,10.7,,,11,,
140875,"Hotel Monte Verita, Ascona, Switzerland, Dining room. Elevation",[8059],1934,Pencil on tracing paper,"18 1/2 x 35 5/8"" (47 x 90.5 cm)","Lilly Reich Collection, Mies van der Rohe Archive",R6.8,Mies van der Rohe Archive,Architecture & Design,,N,,,,,46.99009398,,,90.48768098,,
140868,"Hotel Monte Verita, Ascona, Switzerland, Roof garden. Glass windscreens. Plan and sections",[8059],1934,Pencil on tracing paper,"29 x 40"" (73.7 x 101.6 cm)","Lilly Reich Collection, Mies van der Rohe Archive",R6.1,Mies van der Rohe Archive,Architecture & Design,,N,,,,,73.66014732,,,101.6002032,,
200778,"House for E. L. Marting Project, Northampton, Ohio",[6459],1947,"Ink, pencil, and colored pencil on tracing paper","(1 x 1"")","The Frank Lloyd Wright Foundation Archives (The Museum of Modern Art | Avery Architectural & Fine Arts Library, Columbia University, New York)",FLW.DR.4713.008 ,Frank Lloyd Wright Archive,Architecture & Design,,N,,,,,,,,,,
36090,How Briefly - The Tale of Two Meeting,[529],1981,Synthetic polymer paint and pencil on paper,"30 1/8 x 22 1/2"" (76.7 x 57.1 cm)",Acquired with matching funds from Lily Auchincloss and the National Endowment for the Arts,300.1983.3,Drawing,Drawings & Prints,1983-03-15,Y,http://www.moma.org/collection/works/36090,,,,76.7,,,57.1,,
164271,"I Felt a Funeral in My Brain, Jalameh Checkpoint, West Bank/Palestine",[5517],2011,Pigmented inkjet print,"15 × 15"" (38.1 × 38.1 cm)",Acquired through the generosity of Annie and Paul Mahon,1250.2012,Photograph,Photography,2012-10-02,Y,http://www.moma.org/collection/works/164271,,,,38.1,,,38.1,,
186383,I Got Up...,[3030],1977,Ink and stamps on postcard,"Each (postcard, sight): 4 x 5 7/8"" (10.2 x 14.9cm)",Gift of Angela Westwater,366.1991.20,Painting,Painting & Sculpture,1991-12-09,Y,http://www.moma.org/collection/works/186383,,,,10.2,,,14.9,,
120716,"I hung back, held fire, danced and lied",[32286],1995,"Video (black and white and color, sound)",4:50 min.,"Gift of the Jerome Foundation in honor of its founder, Jerome Hill",1677.2000.7,Video,Media and Performance,2000-10-15,Y,http://www.moma.org/collection/works/120716,,,,,,,,,290
95801,"I Shit Crystals for You, David",[28607],2004,"Pencil, colored pencil, ink, felt-tip pen, synthetic polymer paint, and watercolor on paper","12 3/8 x 10"" (31.4 x 25.4 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,1548.2005,Drawing,Drawings & Prints,2005-05-10,Y,http://www.moma.org/collection/works/95801,,,,31.4326,,,25.4001,,
180274,Iaese / arbejdstykker No.31 + 34,[18701],,,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4926,Audio,Fluxus Collection,2008-10-08,N,,,0,,0,,,0,,
53767,Iceberg Grounded Near the Land,"[26529, 1310]",1869,Albumen silver print from a glass negative,"5 1/16 × 4 15/16"" (12.8 × 12.1 cm)",,466.1981.11,Photograph,Photography,1981-12-17,N,,,,,12.8,,,12.1,,
196360,Ich kann (a) darf (b) und will (c) nicht (I cannot [a] shall not [b] and don't want to [c]) from Book Drafts,[5933],1995,Catalog with printed cover,"5 3/4 × 8 1/8"" (14.6 × 20.6 cm)",Anonymous gift,699.2015.43,Drawing,Drawings & Prints,2015-06-03,Y,http://www.moma.org/collection/works/196360,,,,14.60502921,,,20.63754128,,
57835,IL DUOMO DI ORVIETO,[8595],,Albumen silver print,"15 1/8 × 11"" (38.5 × 28.0 cm)",Gift of Mrs. John Swayze,1189.1979,Photograph,Photography,1979-12-13,N,,,,,38.5,,,28,,
51266,Illustration for a Mexican Song,[4039],1927,Gelatin silver print,"9 3/16 × 7 5/16"" (23.4 × 18.6 cm)",Anonymous gift,341.1965,Photograph,Photography,1965-04-06,Y,http://www.moma.org/collection/works/51266,,,,23.4,,,18.6,,
65637,Immigrant Family,[5366],1941,Screenprint,"composition (irreg.): 11 1/2 x 18 1/16"" (29.2 x 45.9 cm); sheet (irreg.): 19 5/16 x 25 5/16"" (49.1 x 64.3 cm)","Gift of Mr. and Mrs. Alfred H. Barr, Jr.",268.1974,Print,Drawings & Prints,1974-04-23,Y,http://www.moma.org/collection/works/65637,,,,29.2,,,45.9,,
148334,"Imperial Exposition of the German Textile and Garment Industry, Berlin, Germany (Elevations and sections. Artificial-silk rack.)",[8059],1937,Pencil on tracing paper,"16 1/4 x 36 1/2"" (41.3 x 92.7 cm)","Lilly Reich Collection, Mies van der Rohe Archive",R16.52,Mies van der Rohe Archive,Architecture & Design,,N,,,,,41.27508255,,,92.71018542,,
200924,"Imperial Hotel, Tokyo, Japan",[6459],1915,drawing,"(1 x 1"")","The Frank Lloyd Wright Foundation Archives (The Museum of Modern Art | Avery Architectural & Fine Arts Library, Columbia University, New York)",FLW.DR.1509.690,Frank Lloyd Wright Archive,Architecture & Design,,N,,,,,,,,,,
158271,Improbable History of Mr. Peabody: George Armstrong Custer,[-1],1960,"16mm film (color, sound)",5 min.,,F2012.223,Film,Film,2002-07-18,N,,,,,,,,,,300
70273,In the Cafe (Im Café),[1827],1912,"Etching, printed in brown-black","plate: 5 7/8 x 7 11/16"" (14.9 x 19.5cm)",Given anonymously,509.1942,Print,Drawings & Prints,1942-11-19,Y,http://www.moma.org/collection/works/70273,,,,14.9,,,19.5,,
83760,In the Gallery,[24450],1927,Gelatin silver print,"8 9/16 × 6 5/8"" (21.7 × 16.8 cm)","Thomas Walther Collection. Gift of Harold Edgerton, by exchange",1671.2001,Photograph,Photography,2001-12-13,Y,http://www.moma.org/collection/works/83760,,,,21.7,,,16.8,,
104291,"In the Public Bar at Charlie Brown's, Limehouse",[740],1942,Gelatin silver print,"9 × 7 11/16"" (22.8 × 19.6 cm)",Purchase,620.2006,Photograph,Photography,2006-10-12,Y,http://www.moma.org/collection/works/104291,,,,22.8,,,19.6,,
30103,"In the Shadows Are People, Weeping and Praying, Surrounded by Others Who Are Exhorting Them . . . (Dans l'ombre des gens pleurent et prient entourés d'autres qui les exhortent . . .) (plate VII) from La Tentation de Saint-Antoine",[4840],1896,Lithograph from an illustrated book with 22 lithographs on chine appliqué and 21 wood engravings (including wrapper and table of plates),"composition: 10 3/8 × 8 3/8"" (26.3 × 21.3 cm); page: 17 3/16 × 12 15/16"" (43.6 × 32.9 cm)",The Louis E. Stern Collection,1030.1964.15,Illustrated Book,Drawings & Prints,1964-10-06,Y,http://www.moma.org/collection/works/30103,,,,26.3,,,21.3,,
215947,Independence/Nakba,[49682],2013,Pigmented inkjet print,"16 × 14"" (40.6 × 35.6 cm)",Acquired through the generosity of Jane P. Watkins,357.2016.75,Photograph,Photography,2016-05-19,N,,,35.56007112,,0,,,40.64008128,,
215985,Independence/Nakba,[49682],2013,Pigmented inkjet print,"16 × 14"" (40.6 × 35.6 cm)",Acquired through the generosity of Jane P. Watkins,357.2016.113,Photograph,Photography,2016-05-19,N,,,35.56007112,,0,,,40.64008128,,
124565,Information Painting by Telephone Media Is Cool (Postcard Painting I-11) from The Whole Works,[32795],1968,Letterpress on printed paper from a portfolio of 71 prints,"sheet: 5 13/16 x 3 15/16"" (14.7 x 10 cm)",Art & Project/Depot VBVR Gift,1064.2007.35,Print,Drawings & Prints,2007-11-12,Y,http://www.moma.org/collection/works/124565,,,,14.7,,,10,,
120570,Information Withheld,[1606],1983,"Video (color, sound)",28:27 min.,Purchase,550.1984,Video,Media and Performance,1984-09-01,Y,http://www.moma.org/collection/works/120570,,,,,,,,,1707
405359,"Inondation, Charcuterie Toutin,117, rue de Paris, Clichy-la-Garenne",[8595],1910,Gelatin silver print,"Approx. 3 9/16 × 5 1/2"" (9 × 14 cm)",Acquired through the generosity of Jon L. Stryker and Committee on Photography Fund,472.2019.326,Photograph,Photography,,Y,http://www.moma.org/collection/works/405359,,,,,,,,,
86442,Inspection of Ships (Smotir Sudov),[8595],1903,Gelatin silver printing-out-paper print,"3 7/16 × 11 5/16"" (8.7 × 28.7 cm)",Acquired through the generosity of Howard Stein,483.2011.93,Photograph,Photography,2001-06-14,Y,http://www.moma.org/collection/works/86442,,,,8.7,,,28.7,,
65880,Interim from the series Graphic Tectonic,[97],1942,Lithograph,"composition (irreg.): 7 5/8 x 15 3/16"" (19.3 x 38.6 cm); sheet: 19 x 23 3/8"" (48.3 x 59.4 cm)",Gift of the artist,278.1968.3,Print,Drawings & Prints,1968-04-23,Y,http://www.moma.org/collection/works/65880,,,,19.3,,,38.6,,
58923,"Interior with Cast Iron Stove on Farm, near New Albany",[4109],1950,Gelatin silver print,"9 1/2 × 7 1/2"" (24.2 × 19.0 cm)",Courtesy of the photographer,2612.1967,Photograph,Photography,1967-12-13,N,,,,,24.2,,,19,,
148031,"International Exposition of Arts and Techniques Applied to Modern Life, German Textile-Industry Exhibit, Paris, France (Sections, stands)",[8059],1937,Pencil on tracing paper,"27 7/8 x 21 1/2"" (70.8 x 54.6 cm)","Lilly Reich Collection, Mies van der Rohe Archive",R13.12,Mies van der Rohe Archive,Architecture & Design,,N,,,,,70.80264161,,,54.61010922,,
130420,"International Exposition of Arts and Techniques Applied to Modern Life, German Textile-Industry Exhibit, Paris, France, Plan and exhibit layout",[8059],1937,Pencil on tracing paper,"19 3/4 x 19 5/8"" (50.2 x 49.8 cm)","Lilly Reich Collection, Mies van der Rohe Archive",R13.2,Mies van der Rohe Archive,Architecture & Design,,N,,,,,50.16510033,,,49.8475997,,
199095,Interval I,[47183],2014,Archival pigment print,"36 × 54"" (91.4 × 137.2 cm)",Fund for the Twenty-First Century,1772.2015.2,Photograph,Media and Performance,2015-12-11,Y,http://www.moma.org/collection/works/199095,,0,,91.44018288,,,137.1602743,,
128232,Interview with George Maciunas,[37005],1978,VHS,,The Gilbert and Lila Silverman Fluxus Collection Gift,2875.2008,Video,Drawings & Prints,2008-10-08,N,,,,,,,,,,
25596,In-text ornament (page 19) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,[1646],1931,"Lithograph, printed in color","irreg. composition  2 7/16 x 7"" (6.2 x 17.8 cm)",The Louis E. Stern Collection,820.1964.11,Illustrated Book,Drawings & Prints,1964-10-06,N,,,,,6.2,,,17.8,,
14714,In-text plate (folio 11) from EIGHT POEMS,[6618],1962,,"irreg. composition  2 15/16 x 3 7/8"" (7.5 x 9.8 cm)",Gift of the Publications Department,291.1963.6,Illustrated Book,Drawings & Prints,1963-05-07,N,,,,,7.5,,,9.8,,
9782,In-text plate (folio 28) from BIOTHERM,[1547],1989,,"irreg. composition  21 5/16 x 14 15/16"" (54.1 x 38 cm)",Walter Thayer Bequest and Purchase,23.1991.A27,Illustrated Book,Drawings & Prints,1991-01-23,N,,,,,54.1,,,38,,
19499,In-text plate (folio 37 verso) from CENT COMPTINES,[5065],1922,,"irreg. composition  3 7/16 x 4 9/16"" (8.7 x 11.6 cm)",Gift of Monroe Wheeler,606.1949.37,Illustrated Book,Drawings & Prints,1949-09-29,N,,,,,8.7,,,11.6,,
9696,In-text plate (folio I) from THE HIDDEN BOY,[647],1984,"Woodcut and photolithograph, printed in black","irreg. composition  24 13/16 x 18 3/4"" (63 x 47.7 cm)",Purchase,23.1986.A3,Illustrated Book,Drawings & Prints,1986-01-09,N,,,,,63,,,47.7,,
155509,In-text plate (page 295) from La 628-E8,[665],1908,One from an illustrated book with 104 line block reproductions after drawings (including front cover),"composition (irreg.): 1 3/4 × 2 13/16"" (4.5 × 7.2 cm); page (each): 9 7/16 × 7 9/16"" (24 × 19.2 cm)",The Louis E. Stern Collection,686.1964.74,Illustrated Book,Drawings & Prints,1964-10-06,Y,http://www.moma.org/collection/works/155509,,,,4.5,,,7.2,,
24833,In-text plate (page 43) from LA PRINCESSE DE BABYLONE,[6077],1942,,"irreg. composition  9 5/16 x 6 5/8"" (23.6 x 16.9 cm)",The Louis E. Stern Collection,801.1964.16,Illustrated Book,Drawings & Prints,1964-10-06,N,,,,,23.6,,,16.9,,
21357,In-text plate (page 82) from Parallèlement (In Parallel),[665],1900,Lithograph from an illustrated book with 109 lithographs and nine wood engravings,"composition (irreg.): 6 9/16 × 6 5/16"" (16.7 × 16.1 cm); page (irreg. each approx.): 11 5/8 × 9 7/16"" (29.6 × 24 cm)",The Louis E. Stern Collection,684.1964.72,Illustrated Book,Drawings & Prints,1964-10-06,Y,http://www.moma.org/collection/works/21357,,,,16.7,,,16.1,,
97770,"Intra-Venus Face No. 18, February 15, 1992",[18539],1992,Watercolor on notebook paper,"12 1/2 x 9 1/2"" (31.8 x 24.1 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,3437.2005,Drawing,Drawings & Prints,2005-05-10,Y,http://www.moma.org/collection/works/97770,,,,31.7501,,,24.13,,
74315,Invitation to subscribe to El Taller de Gráfica Popular,"[3923, 1084, 6103]",,Two offset lithographs,"sheet (quarter folded): 13 3/8 × 9 3/16"" (33.9 × 23.4 cm)",Inter-American Fund,821.1942.1a-2,Print,Drawings & Prints,1942-12-29,N,,,,,33.9,,,23.4,,
289147,Irregular Forms Blanketed by Pure Form,[3283],1967,Graphite and ink on paper,"15 3/4 × 11 3/4"" (40 × 29.8 cm)","Gift of the Gilbert B. and Lila Silverman Instruction Drawing Collection, Detroit",1487.2018,Drawing,Drawings & Prints,2018-11-05,N,,,,,40.00508001,,,29.84505969,,
119708,It Breaks If They Are Separated,[710],2002,"Drypoint, with hand additions","plate: 9 15/16 x 11 7/8"" (25.2 x 30.2 cm); sheet: 11 x 14 3/16"" (28 x 36 cm)",Gift of the artist,1730.2008,Print,Drawings & Prints,2008-10-08,Y,http://www.moma.org/collection/works/119708,,,,25.2,,,30.2,,
183950,It's Easter in My Brain,"[7968, 4739, 3045, 46886, 47510, 47511, 47512, 47513, 47514, 47515, 12382, 46879]",1990,7-inch vinyl record,"cover: 7 × 7 1/4"" (17.8 × 18.4 cm)",Committee on Prints and Illustrated Books Fund,854.2013.85,Audio,Drawings & Prints,2013-10-10,Y,http://www.moma.org/collection/works/183950,,0,,17.78003556,,,18.41503683,,
131032,"It's late and the wind carries a faint sound as it moves through the trees. It could be anything. The jingling of little bells perhaps, or the tiny flickering out of tiny lives. I stroll down the sidewalk and close my eyes and open them and wait for my, mind to go perfectly blank. Like a room no one has ever entered, a room without any doors or windows. A place where nothing happens.",[8043],1999,"Six-channel video (black and white and color, sound), aluminum, Plexiglas, neon",Dimensions and duration variable,Gift of Maja Hoffmann and of Franz Wassmer,1654.2009,Installation,Media and Performance,2009-11-19,Y,http://www.moma.org/collection/works/131032,,,,,,,,,434
82655,Jacqueline with Headband I (Jacqueline au bandeau I),[4609],1962,Linoleum cut with tracing paper overlay,"composition: 13 3/4 x 10 5/8"" (35 x 27 cm); sheet: 24 13/16 x 17 1/2"" (63 x 44.5 cm)","Eugene Mercy, Jr. Fund, Riva Castleman Endowment Fund, and Louise Reinhardt Smith Bequest (by exchange)",2516.2001,Print,Drawings & Prints,2001-11-13,Y,http://www.moma.org/collection/works/82655,,,,35,,,27,,
54481,"Jerusalem, Quartier Oriental",[1629],1849,Salted paper print from a paper negative,"6 5/16 × 9 1/16"" (15.8 × 23.0 cm)","Gift of Warner Communications, Inc.",504.1981,Photograph,Photography,1981-12-17,Y,http://www.moma.org/collection/works/54481,,,,15.8,,,23,,
103781,Journey to the Source (Reise zu den Quellen) from Museum in Progress,[24409],1992,,,Linda Barth Goldstein Fund,514.2006.14a-b,Print,Drawings & Prints,2006-06-01,N,,,,,,,,,,
290084,K.E. Tsiolkovsky Museum of Astronautics,[74807],1988,Watercolor on cardboard,"22 1/16 × 31 1/4"" (56 × 79.3 cm)",Committee on Architecture and Design Funds,773.2018,Architecture,Architecture & Design,2018-10-15,N,,,,,56,,,79.3,,
